Net Asset Value,NAV date,Fund Name
34.9679,2024-06-11,SBI PSU Fund
38.97,2024-06-11,Bank of India Mid Small Cap Fund
26.4359,2024-06-11,Kotak Equity Savings Fund
32.1676,2024-06-11,ICICI Prudential Bharat 22 FOF
92.1206,2024-06-11,Nippon India Large Cap Fund
92.5612,2024-06-12,Nippon India Large Cap Fund
26.4915,2024-06-12,Kotak Equity Savings Fund
202.971,2024-06-12,HDFC Focused 30 Fund
32.458,2024-06-12,ICICI Prudential Bharat 22 FOF
34.096,2024-06-12,HSBC Equity Savings Fund
35.3555,2024-06-12,SBI PSU Fund
39.26,2024-06-12,Bank of India Mid Small Cap Fund
39.47,2024-06-13,Bank of India Mid Small Cap Fund
93.04,2024-06-13,Nippon India Large Cap Fund
203.619,2024-06-13,HDFC Focused 30 Fund
34.3296,2024-06-13,HSBC Equity Savings Fund
32.5454,2024-06-13,ICICI Prudential Bharat 22 FOF
35.6196,2024-06-13,SBI PSU Fund
26.5421,2024-06-13,Kotak Equity Savings Fund
26.6184,2024-06-14,Kotak Equity Savings Fund
34.5801,2024-06-14,HSBC Equity Savings Fund
32.7146,2024-06-14,ICICI Prudential Bharat 22 FOF
39.73,2024-06-14,Bank of India Mid Small Cap Fund
204.252,2024-06-14,HDFC Focused 30 Fund
35.9942,2024-06-14,SBI PSU Fund
93.6567,2024-06-14,Nippon India Large Cap Fund
36.2095,2024-06-18,SBI PSU Fund
93.803,2024-06-18,Nippon India Large Cap Fund
205.475,2024-06-18,HDFC Focused 30 Fund
32.7811,2024-06-18,ICICI Prudential Bharat 22 FOF
34.6312,2024-06-18,HSBC Equity Savings Fund
39.95,2024-06-18,Bank of India Mid Small Cap Fund
26.6503,2024-06-18,Kotak Equity Savings Fund
26.6112,2024-06-19,Kotak Equity Savings Fund
35.7136,2024-06-19,SBI PSU Fund
93.5849,2024-06-19,Nippon India Large Cap Fund
32.4231,2024-06-19,ICICI Prudential Bharat 22 FOF
34.4567,2024-06-19,HSBC Equity Savings Fund
39.89,2024-06-19,Bank of India Mid Small Cap Fund
206.028,2024-06-19,HDFC Focused 30 Fund
93.8753,2024-06-20,Nippon India Large Cap Fund
40.09,2024-06-20,Bank of India Mid Small Cap Fund
34.5708,2024-06-20,HSBC Equity Savings Fund
35.7641,2024-06-20,SBI PSU Fund
32.4695,2024-06-20,ICICI Prudential Bharat 22 FOF
206.788,2024-06-20,HDFC Focused 30 Fund
26.5995,2024-06-20,Kotak Equity Savings Fund
35.6635,2024-06-21,SBI PSU Fund
34.5786,2024-06-21,HSBC Equity Savings Fund
207.065,2024-06-21,HDFC Focused 30 Fund
40.13,2024-06-21,Bank of India Mid Small Cap Fund
32.3203,2024-06-21,ICICI Prudential Bharat 22 FOF
93.5537,2024-06-21,Nippon India Large Cap Fund
26.5685,2024-06-21,Kotak Equity Savings Fund
26.5742,2024-06-24,Kotak Equity Savings Fund
35.5798,2024-06-24,SBI PSU Fund
34.6647,2024-06-24,HSBC Equity Savings Fund
40.05,2024-06-24,Bank of India Mid Small Cap Fund
93.7392,2024-06-24,Nippon India Large Cap Fund
207.482,2024-06-24,HDFC Focused 30 Fund
32.2941,2024-06-24,ICICI Prudential Bharat 22 FOF
35.4663,2024-06-25,SBI PSU Fund
34.67,2024-06-25,HSBC Equity Savings Fund
39.98,2024-06-25,Bank of India Mid Small Cap Fund
26.6244,2024-06-25,Kotak Equity Savings Fund
94.3814,2024-06-25,Nippon India Large Cap Fund
32.3435,2024-06-25,ICICI Prudential Bharat 22 FOF
209.285,2024-06-25,HDFC Focused 30 Fund
34.5822,2024-06-26,HSBC Equity Savings Fund
26.6393,2024-06-26,Kotak Equity Savings Fund
94.643,2024-06-26,Nippon India Large Cap Fund
209.271,2024-06-26,HDFC Focused 30 Fund
40.1,2024-06-26,Bank of India Mid Small Cap Fund
35.3511,2024-06-26,SBI PSU Fund
32.4253,2024-06-26,ICICI Prudential Bharat 22 FOF
26.6696,2024-06-27,Kotak Equity Savings Fund
209.568,2024-06-27,HDFC Focused 30 Fund
40.17,2024-06-27,Bank of India Mid Small Cap Fund
95.1237,2024-06-27,Nippon India Large Cap Fund
32.5275,2024-06-27,ICICI Prudential Bharat 22 FOF
34.4774,2024-06-27,HSBC Equity Savings Fund
35.4686,2024-06-27,SBI PSU Fund
34.5365,2024-06-28,HSBC Equity Savings Fund
32.5896,2024-06-28,ICICI Prudential Bharat 22 FOF
208.725,2024-06-28,HDFC Focused 30 Fund
26.6194,2024-06-28,Kotak Equity Savings Fund
35.7162,2024-06-28,SBI PSU Fund
94.9416,2024-06-28,Nippon India Large Cap Fund
40.42,2024-06-28,Bank of India Mid Small Cap Fund
35.7162,2024-06-30,SBI PSU Fund
32.6012,2024-07-01,ICICI Prudential Bharat 22 FOF
